CHROM,POS,TYPE,src
1,2457,SNM,Genetics2019
1,89734,SNM,Genetics2019
1,244406,SNM,Genetics2019
1,296649,SNM,Genetics2019
1,429169,SNM,Genetics2019
1,684941,SNM,Genetics2019
1,791896,SNM,Genetics2019
1,820950,SNM,Genetics2019
1,836641,SNM,Genetics2019
1,880136,SNM,Genetics2019
1,936308,SNM,Genetics2019
1,1310262,SNM,Genetics2019
1,1419293,SNM,Genetics2019
1,1468807,SNM,Genetics2019
1,1542048,SNM,Genetics2019
1,1601111,SNM,Genetics2019
1,1619017,SNM,Genetics2019
1,1719714,SNM,Genetics2019
1,2000342,SNM,Genetics2019
1,2024242,SNM,Genetics2019
1,2083631,SNM,Genetics2019
1,2195192,SNM,Genetics2019
1,2441583,SNM,Genetics2019
1,2888760,SNM,Genetics2019
1,2923924,SNM,Genetics2019
1,2993791,SNM,Genetics2019
1,3101019,SNM,Genetics2019
1,3274423,SNM,Genetics2019
1,3420110,SNM,Genetics2019
1,3547005,SNM,Genetics2019
1,4028593,SNM,Genetics2019
1,4097380,SNM,Genetics2019
1,4209635,SNM,Genetics2019
1,4364132,SNM,Genetics2019
1,4450913,SNM,Genetics2019
1,4527246,SNM,Genetics2019
1,4561760,SNM,Genetics2019
1,4752635,SNM,Genetics2019
1,4884880,SNM,Genetics2019
1,4954007,SNM,Genetics2019
1,5010019,SNM,Genetics2019
1,5116831,SNM,Genetics2019
1,5224067,SNM,Nature2022
1,5408168,SNM,Genetics2019
1,5757543,SNM,Genetics2019
1,6042853,SNM,Genetics2019
1,6144774,SNM,Genetics2019
1,6181083,SNM,Genetics2019
1,6266098,SNM,Genetics2019
1,6297848,SNM,Genetics2019
1,6382122,SNM,Genetics2019
1,6756815,SNM,Genetics2019
1,6854580,SNM,Genetics2019
1,6906389,SNM,Genetics2019
1,7016648,SNM,Genetics2019
1,7063004,SNM,Genetics2019
1,7131971,SNM,Genetics2019
1,7206388,SNM,Genetics2019
1,7405906,SNM,Genetics2019
1,7525374,SNM,Genetics2019
1,7531291,SNM,Genetics2019
1,7591520,SNM,Genetics2019
1,7604887,SNM,Genetics2019
1,7644852,SNM,Genetics2019
1,7647972,SNM,Genetics2019
1,7678431,SNM,Genetics2019
1,7746698,SNM,Genetics2019
1,7765091,SNM,Genetics2019
1,7840015,SNM,Genetics2019
1,7842571,SNM,Genetics2019
1,7955803,SNM,Genetics2019
1,8036125,SNM,Genetics2019
1,8062301,SNM,Genetics2019
1,8109943,SNM,Genetics2019
1,8166884,SNM,Genetics2019
1,8276186,SNM,Genetics2019
1,8346209,SNM,Genetics2019
1,8360749,SNM,Genetics2019
1,8698712,SNM,Genetics2019
1,8733549,SNM,Genetics2019
1,8734467,SNM,Genetics2019
1,8923010,SNM,Genetics2019
1,8933171,SNM,Genetics2019
1,9220532,SNM,Genetics2019
1,9373643,SNM,Genetics2019
1,9373690,SNM,Genetics2019
1,9612240,SNM,Genetics2019
1,9811867,SNM,Genetics2019
1,9854731,SNM,Genetics2019
1,9891295,SNM,Genetics2019
1,9927624,SNM,Genetics2019
1,9999417,SNM,Genetics2019
1,10007114,SNM,Genetics2019
1,10286511,SNM,Genetics2019
1,10515517,SNM,Genetics2019
1,10582282,SNM,Genetics2019
1,10763451,SNM,Genetics2019
1,10918704,SNM,Genetics2019
1,11132135,SNM,Genetics2019
1,11254362,SNM,Genetics2019
1,11263902,SNM,Genetics2019
1,11367030,SNM,Genetics2019
1,11446830,SNM,Genetics2019
1,11508783,SNM,Genetics2019
1,11529585,SNM,Genetics2019
1,11544760,SNM,Genetics2019
1,11809442,SNM,Genetics2019
1,11843528,SNM,Genetics2019
1,11901972,SNM,Genetics2019
1,11947646,SNM,Genetics2019
1,12253525,SNM,Genetics2019
1,12270874,SNM,Genetics2019
1,12285204,SNM,Genetics2019
1,12376107,SNM,Genetics2019
1,12452127,SNM,Genetics2019
1,12525169,SNM,Genetics2019
1,12547541,SNM,Genetics2019
1,12592212,SNM,Genetics2019
1,12750435,SNM,Genetics2019
1,12884386,SNM,Genetics2019
1,13230447,SNM,Genetics2019
1,13533411,SNM,Genetics2019
1,13585815,SNM,Genetics2019
1,13612090,SNM,Genetics2019
1,13839387,SNM,Genetics2019
1,13868231,SNM,Genetics2019
1,14282199,SNM,Genetics2019
1,14677876,SNM,Genetics2019
1,14679453,SNM,Genetics2019
1,14685631,SNM,Genetics2019
1,14718626,SNM,Genetics2019
1,15015468,SNM,Genetics2019
1,15037840,SNM,Genetics2019
1,15664643,SNM,Genetics2019
1,15758614,SNM,Genetics2019
1,15888057,SNM,Genetics2019
1,16133254,SNM,Genetics2019
1,16224771,SNM,Genetics2019
1,16239494,SNM,Genetics2019
1,16357120,SNM,Genetics2019
1,16497636,SNM,Genetics2019
1,16497788,SNM,Genetics2019
1,16558906,SNM,Genetics2019
1,16665127,SNM,Genetics2019
1,16715886,SNM,Genetics2019
1,16874852,SNM,Genetics2019
1,16901003,SNM,Genetics2019
1,17126901,SNM,Genetics2019
1,17178940,SNM,Genetics2019
1,17255359,SNM,Genetics2019
1,17278395,SNM,Genetics2019
1,17313508,SNM,Genetics2019
1,17382081,SNM,Genetics2019
1,17402392,SNM,Genetics2019
1,17634038,SNM,Genetics2019
1,17682077,SNM,Genetics2019
1,17944055,SNM,Genetics2019
1,17977916,SNM,Genetics2019
1,18076994,SNM,Genetics2019
1,18132018,SNM,Genetics2019
1,18749416,SNM,Genetics2019
1,18855743,SNM,Genetics2019
1,18931242,SNM,Genetics2019
1,18979174,SNM,Genetics2019
1,19681476,SNM,Genetics2019
1,19813786,SNM,Genetics2019
1,19848036,SNM,Genetics2019
1,19897266,SNM,Genetics2019
1,19897268,SNM,Genetics2019
1,20241524,SNM,Genetics2019
1,20244519,SNM,Genetics2019
1,20269948,SNM,Genetics2019
1,20331523,SNM,Genetics2019
1,20443287,SNM,Genetics2019
1,20446326,SNM,Genetics2019
1,20624910,SNM,Genetics2019
1,20678728,SNM,Genetics2019
1,20704357,SNM,Genetics2019
1,20926454,SNM,Genetics2019
1,20980982,SNM,Genetics2019
1,21079716,SNM,Genetics2019
1,21081773,SNM,Genetics2019
1,21344254,SNM,Genetics2019
1,21351279,SNM,Genetics2019
1,21456832,SNM,Genetics2019
1,21582313,SNM,Genetics2019
1,21641474,SNM,Genetics2019
1,21861290,SNM,Genetics2019
1,21975961,SNM,Genetics2019
1,21994614,SNM,Genetics2019
1,22210953,SNM,Genetics2019
1,22243702,SNM,Genetics2019
1,22396963,SNM,Genetics2019
1,22415532,SNM,Genetics2019
1,22425499,SNM,Genetics2019
1,22447618,SNM,Genetics2019
1,22483246,SNM,Genetics2019
1,22534321,SNM,Genetics2019
1,22763929,SNM,Genetics2019
1,23187546,SNM,Genetics2019
1,23222276,SNM,Genetics2019
1,23267907,SNM,Genetics2019
1,23297849,SNM,Genetics2019
1,23444367,SNM,Genetics2019
1,24009382,SNM,Genetics2019
1,24074916,SNM,Genetics2019
1,24115478,SNM,Genetics2019
1,24410880,SNM,Genetics2019
1,24557998,SNM,Genetics2019
1,24568549,SNM,Genetics2019
1,24602797,SNM,Genetics2019
1,24624702,SNM,Genetics2019
1,24743504,SNM,Genetics2019
1,24782148,SNM,Genetics2019
1,25001093,SNM,Genetics2019
1,25126623,SNM,Genetics2019
1,25206482,SNM,Genetics2019
1,25303570,SNM,Genetics2019
1,25406376,SNM,Genetics2019
1,25468890,SNM,Genetics2019
1,25534013,SNM,Genetics2019
1,25609994,SNM,Genetics2019
1,25650890,SNM,Genetics2019
1,25653339,SNM,Genetics2019
1,25819217,SNM,Genetics2019
1,26126553,SNM,Genetics2019
1,26233752,SNM,Genetics2019
1,26325421,SNM,Genetics2019
1,26528002,SNM,Genetics2019
1,26585953,SNM,Genetics2019
1,26702066,SNM,Genetics2019
1,26830588,SNM,Genetics2019
1,26980862,SNM,Genetics2019
1,27057531,SNM,Genetics2019
1,27121134,SNM,Genetics2019
1,27191309,SNM,Genetics2019
1,27376644,SNM,Genetics2019
1,27731087,SNM,Genetics2019
1,27764839,SNM,Genetics2019
1,27846504,SNM,Genetics2019
1,28191740,SNM,Genetics2019
1,28366289,SNM,Genetics2019
1,28501694,SNM,Genetics2019
1,28566739,SNM,Genetics2019
1,28971178,SNM,Genetics2019
1,28990910,SNM,Genetics2019
1,29208658,SNM,Genetics2019
1,29217170,SNM,Genetics2019
1,29380719,SNM,Genetics2019
1,29412132,SNM,Genetics2019
1,29412133,SNM,Genetics2019
1,29489702,SNM,Genetics2019
1,29721924,SNM,Genetics2019
1,30057956,SNM,Genetics2019
1,30081780,SNM,Genetics2019
1,30265945,SNM,Genetics2019
2,92361,SNM,Genetics2019
2,122245,SNM,Genetics2019
2,146559,SNM,Genetics2019
2,212097,SNM,Genetics2019
2,353016,SNM,Genetics2019
2,357404,SNM,Genetics2019
2,363503,SNM,Genetics2019
2,600769,SNM,Genetics2019
2,768894,SNM,Genetics2019
2,796061,SNM,Genetics2019
2,802641,SNM,Genetics2019
2,934934,SNM,Genetics2019
2,1005435,SNM,Genetics2019
2,1160684,SNM,Genetics2019
2,1219756,SNM,Genetics2019
2,1220067,SNM,Genetics2019
2,1220068,SNM,Genetics2019
2,1822345,SNM,Genetics2019
2,2212722,SNM,Genetics2019
2,2354562,SNM,Genetics2019
2,2759668,SNM,Genetics2019
2,2888460,SNM,Genetics2019
2,3188147,SNM,Genetics2019
2,3266667,SNM,Genetics2019
2,3546343,SNM,Genetics2019
2,3619677,SNM,Genetics2019
2,3620193,SNM,Genetics2019
2,3664072,SNM,Genetics2019
2,4070354,SNM,Genetics2019
2,4088951,SNM,Genetics2019
2,4225044,SNM,Genetics2019
2,4341233,SNM,Genetics2019
2,4724033,SNM,Genetics2019
2,5017713,SNM,Genetics2019
2,5018360,SNM,Genetics2019
2,5422036,SNM,Genetics2019
2,5550357,SNM,Genetics2019
2,5559734,SNM,Genetics2019
2,5947017,SNM,Genetics2019
2,5977448,SNM,Genetics2019
2,6092657,SNM,Genetics2019
2,6109383,SNM,Genetics2019
2,6121122,SNM,Genetics2019
2,6131147,SNM,Genetics2019
2,6133365,SNM,Genetics2019
2,6490082,SNM,Genetics2019
2,6490579,SNM,Genetics2019
2,6728617,SNM,Genetics2019
2,6752832,SNM,Genetics2019
2,6752833,SNM,Genetics2019
2,6889520,SNM,Genetics2019
2,7036039,SNM,Genetics2019
2,7171654,SNM,Genetics2019
2,7336819,SNM,Genetics2019
2,7402605,SNM,Genetics2019
2,7663077,SNM,Genetics2019
2,7766519,SNM,Genetics2019
2,8199482,SNM,Genetics2019
2,8217808,SNM,Genetics2019
2,8371958,SNM,Genetics2019
2,8383525,SNM,Genetics2019
2,8535271,SNM,Genetics2019
2,8585613,SNM,Genetics2019
2,8621357,SNM,Genetics2019
2,8673852,SNM,Genetics2019
2,8762525,SNM,Genetics2019
2,8804320,SNM,Genetics2019
2,8967048,SNM,Genetics2019
2,8972017,SNM,Genetics2019
2,9027198,SNM,Genetics2019
2,9153271,SNM,Genetics2019
2,9164937,SNM,Genetics2019
2,9290254,SNM,Genetics2019
2,9438884,SNM,Genetics2019
2,9521094,SNM,Genetics2019
2,9524936,SNM,Genetics2019
2,9561040,SNM,Genetics2019
2,9620565,SNM,Genetics2019
2,9641160,SNM,Genetics2019
2,9783823,SNM,Genetics2019
2,9820602,SNM,Genetics2019
2,10098599,SNM,Genetics2019
2,10104561,SNM,Genetics2019
2,10296102,SNM,Genetics2019
2,10307099,SNM,Genetics2019
2,10393814,SNM,Genetics2019
2,10631032,SNM,Genetics2019
2,10958423,SNM,Genetics2019
2,11018287,SNM,Genetics2019
2,11043111,SNM,Genetics2019
2,11079219,SNM,Genetics2019
2,11115696,SNM,Genetics2019
2,11362656,SNM,Genetics2019
2,11449573,SNM,Genetics2019
2,11539258,SNM,Genetics2019
2,11548925,SNM,Genetics2019
2,11573145,SNM,Genetics2019
2,11619176,SNM,Genetics2019
2,11672024,SNM,Genetics2019
2,11835106,SNM,Genetics2019
2,11854273,SNM,Genetics2019
2,12047386,SNM,Genetics2019
2,12139933,SNM,Genetics2019
2,12372816,SNM,Genetics2019
2,12388974,SNM,Genetics2019
2,12388975,SNM,Genetics2019
2,12407782,SNM,Genetics2019
2,12454496,SNM,Genetics2019
2,12597310,SNM,Genetics2019
2,12729035,SNM,Genetics2019
2,12752404,SNM,Genetics2019
2,12829787,SNM,Genetics2019
2,12831566,SNM,Genetics2019
2,13042387,SNM,Genetics2019
2,13093362,SNM,Genetics2019
2,13204200,SNM,Genetics2019
2,13624929,SNM,Genetics2019
2,13647690,SNM,Genetics2019
2,13681634,SNM,Genetics2019
2,13838769,SNM,Genetics2019
2,13879190,SNM,Genetics2019
2,14010251,SNM,Genetics2019
2,14062754,SNM,Genetics2019
2,14085288,SNM,Genetics2019
2,14098183,SNM,Genetics2019
2,14174712,SNM,Genetics2019
2,14193396,SNM,Genetics2019
2,14200483,SNM,Genetics2019
2,14284596,SNM,Genetics2019
2,14285129,SNM,Genetics2019
2,14332266,SNM,Genetics2019
2,14418688,SNM,Genetics2019
2,14676138,SNM,Genetics2019
2,14728182,SNM,Genetics2019
2,14737784,SNM,Genetics2019
2,14799247,SNM,Genetics2019
2,14859291,SNM,Genetics2019
2,14887618,SNM,Genetics2019
2,14982894,SNM,Genetics2019
2,15025492,SNM,Genetics2019
2,15056919,SNM,Genetics2019
2,15201608,SNM,Genetics2019
2,15346677,SNM,Genetics2019
2,15586431,SNM,Genetics2019
2,15727476,SNM,Genetics2019
2,15747756,SNM,Genetics2019
2,15811387,SNM,Genetics2019
2,15850713,SNM,Genetics2019
2,16159279,SNM,Genetics2019
2,16241459,SNM,Genetics2019
2,16272794,SNM,Genetics2019
2,16452965,SNM,Genetics2019
2,16599517,SNM,Genetics2019
2,17495511,SNM,Genetics2019
2,17530743,SNM,Genetics2019
2,17939009,SNM,Genetics2019
2,17997381,SNM,Genetics2019
2,18021157,SNM,Genetics2019
2,18093128,SNM,Genetics2019
2,18456502,SNM,Genetics2019
2,18616308,SNM,Genetics2019
2,18739706,SNM,Genetics2019
2,18973119,SNM,Genetics2019
2,18973173,SNM,Genetics2019
2,19331246,SNM,Genetics2019
2,19516663,SNM,Genetics2019
2,19654949,SNM,Genetics2019
2,19670059,SNM,Genetics2019
2,19673489,SNM,Genetics2019
3,47121,SNM,Genetics2019
3,672391,SNM,Genetics2019
3,693158,SNM,Genetics2019
3,722999,SNM,Genetics2019
3,827196,SNM,Genetics2019
3,858273,SNM,Genetics2019
3,894792,SNM,Genetics2019
3,997799,SNM,Genetics2019
3,1057972,SNM,Genetics2019
3,1112498,SNM,Genetics2019
3,1150123,SNM,Genetics2019
3,2003711,SNM,Genetics2019
3,2095625,SNM,Genetics2019
3,2167866,SNM,Genetics2019
3,2167875,SNM,Genetics2019
3,2205146,SNM,Genetics2019
3,2213360,SNM,Genetics2019
3,2251553,SNM,Genetics2019
3,2270128,SNM,Genetics2019
3,2339076,SNM,Genetics2019
3,2360745,SNM,Genetics2019
3,2461274,SNM,Genetics2019
3,2642920,SNM,Genetics2019
3,2789081,SNM,Genetics2019
3,2929415,SNM,Genetics2019
3,2983595,SNM,Genetics2019
3,3008533,SNM,Genetics2019
3,3176666,SNM,Nature2022
3,3176667,SNM,Nature2022
3,3216282,SNM,Genetics2019
3,3258287,SNM,Genetics2019
3,3631045,SNM,Genetics2019
3,3714335,SNM,Genetics2019
3,3721684,SNM,Genetics2019
3,3779277,SNM,Genetics2019
3,3779278,SNM,Genetics2019
3,4206751,SNM,Genetics2019
3,4342645,SNM,Genetics2019
3,4383074,SNM,Nature2022
3,4405980,SNM,Genetics2019
3,4465943,SNM,Genetics2019
3,4538756,SNM,Genetics2019
3,4630881,SNM,Genetics2019
3,4829556,SNM,Genetics2019
3,4836728,SNM,Genetics2019
3,4851800,SNM,Genetics2019
3,5018965,SNM,Genetics2019
3,5068365,SNM,Genetics2019
3,5372266,SNM,Genetics2019
3,5374479,SNM,Genetics2019
3,5415467,SNM,Genetics2019
3,5582532,SNM,Genetics2019
3,5748882,SNM,Genetics2019
3,5909323,SNM,Genetics2019
3,5998296,SNM,Genetics2019
3,6114640,SNM,Genetics2019
3,6243655,SNM,Genetics2019
3,6264365,SNM,Genetics2019
3,6295905,SNM,Genetics2019
3,6336607,SNM,Genetics2019
3,6336608,SNM,Genetics2019
3,6439629,SNM,Genetics2019
3,6576274,SNM,Genetics2019
3,6642012,SNM,Genetics2019
3,6703618,SNM,Genetics2019
3,7091530,SNM,Genetics2019
3,7153181,SNM,Genetics2019
3,7153182,SNM,Genetics2019
3,7159004,SNM,Genetics2019
3,7499631,SNM,Genetics2019
3,7525322,SNM,Genetics2019
3,7534314,SNM,Genetics2019
3,7591474,SNM,Genetics2019
3,7604774,SNM,Genetics2019
3,7713991,SNM,Genetics2019
3,7814820,SNM,Genetics2019
3,7848242,SNM,Genetics2019
3,7881081,SNM,Genetics2019
3,7974325,SNM,Genetics2019
3,8091007,SNM,Genetics2019
3,8227609,SNM,Genetics2019
3,8248049,SNM,Genetics2019
3,8472465,SNM,Genetics2019
3,8497155,SNM,Genetics2019
3,8615829,SNM,Genetics2019
3,8805699,SNM,Genetics2019
